iter	Passed	Remaining
414	3470	4892
415	3479	4884
416	3487	4875
417	3495	4867
418	3503	4857
419	3510	4847
420	3517	4837
421	3525	4829
422	3533	4820
423	3541	4811
424	3549	4802
425	3558	4794
426	3566	4786
427	3575	4778
428	3584	4770
429	3593	4763
430	3601	4754
431	3610	4746
432	3620	4740
433	3629	4732
434	3637	4725
435	3647	4718
436	3657	4711
437	3667	4705
438	3675	4697
439	3683	4687
440	3691	4678
441	3698	4668
442	3705	4659
443	3712	4649
444	3720	4640
445	3728	4630
446	3735	4621
447	3743	4612
448	3751	4603
449	3759	4594
450	3767	4586
451	3775	4577
452	3782	4567
453	3790	4558
454	3800	4552
455	3808	4543
456	3815	4533
457	3823	4524
458	3830	4515
459	3838	4506
460	3845	4496
461	3853	4487
462	3861	4478
463	3869	4469
464	3877	4461
465	3884	4451
466	3892	4443
467	3900	4433
468	3908	4424
469	3916	4416
470	3924	4407
471	3932	4398
472	3939	4389
473	3946	4379
474	3954	4370
475	3961	4361
476	3969	4352
477	3977	4343
478	3985	4334
479	3993	4326
480	4001	4317
481	4009	4308
482	4016	4299
483	4024	4290
484	4032	4281
485	4040	4273
486	4048	4264
487	4057	4256
488	4064	4247
489	4072	4238
490	4080	4229
491	4088	4221
492	4095	4212
493	4103	4203
494	4110	4194
495	4119	4185
496	4126	4176
497	4134	4167
498	4142	4158
499	4149	4149
500	4158	4141
501	4166	4132
502	4173	4123
503	4180	4114
504	4189	4106
505	4196	4096
506	4204	4088
507	4211	4079
508	4219	4070
509	4227	4061
510	4235	4052
511	4242	4043
512	4250	4035
513	4258	4026
514	4267	4018
515	4275	4010
516	4284	4002
517	4292	3994
518	4301	3986
519	4309	3977
520	4318	3970
521	4326	3961
522	4334	3953
523	4342	3944
524	4350	3936
525	4357	3927
526	4365	3918
527	4372	3909
528	4380	3900
529	4388	3891
530	4396	3883
531	4404	3874
532	4412	3866
533	4420	3857
534	4428	3849
535	4436	3840
536	4444	3832
537	4452	3823
538	4461	3815
539	4469	3807
540	4476	3798
541	4484	3789
542	4491	3780
543	4499	3772
544	4507	3763
545	4514	3754
546	4522	3744
547	4530	3736
548	4537	3727
549	4544	3718
550	4552	3709
551	4559	3700
552	4567	3692
553	4575	3683
554	4584	3676
555	4592	3667
556	4600	3659
557	4609	3650
558	4617	3643
559	4626	3635
560	4635	3627
561	4648	3622
562	4656	3614
563	4665	3606
564	4673	3598
565	4682	3590
566	4690	3581
567	4698	3573
568	4706	3565
569	4715	3557
570	4724	3549
571	4732	3541
572	4742	3533
573	4751	3526
574	4759	3518
575	4768	3510
576	4776	3501
577	4784	3493
578	4793	3485
579	4802	3477
580	4812	3470
581	4822	3463
582	4830	3455
583	4839	3447
584	4848	3439
585	4857	3431
586	4865	3423
587	4874	3415
588	4884	3408
589	4894	3401
590	4905	3394
591	4914	3387
592	4925	3380
593	4935	3373
594	4946	3367
595	4957	3360
596	4967	3353
597	4978	3346
598	4989	3339
599	4999	3332
600	5009	3325
601	5019	3318
602	5028	3310
603	5038	3303
604	5048	3296
605	5059	3289
606	5069	3282
607	5077	3273
608	5085	3265
609	5093	3256
610	5100	3247
611	5108	3239
612	5117	3230
613	5125	3222
614	5132	3213
615	5140	3204
616	5148	3196
617	5157	3188
618	5165	3179
619	5174	3171
620	5182	3162
621	5190	3154
622	5198	3145
623	5206	3137
624	5215	3129
625	5224	3121
626	5233	3113
627	5242	3105
628	5251	3097
629	5259	3089
630	5269	3081
631	5278	3073
632	5287	3065
633	5295	3056
634	5303	3048
635	5312	3040
636	5321	3032
637	5329	3024
638	5338	3015
639	5346	3007
640	5356	2999
641	5364	2991
642	5372	2982
643	5380	2974
644	5388	2965
645	5397	2957
646	5405	2949
647	5412	2940
648	5420	2931
649	5428	2923
650	5436	2914
651	5443	2905
652	5452	2897
653	5460	2889
654	5469	2880
655	5476	2871
656	5485	2863
657	5493	2855
658	5501	2846
659	5509	2838
660	5517	2829
661	5525	2821
662	5533	2812
663	5541	2804
664	5550	2796
665	5558	2787
666	5566	2778
667	5573	2769
668	5581	2761
669	5588	2752
670	5596	2744
671	5604	2735
672	5612	2726
673	5619	2718
674	5627	2709
675	5635	2700
676	5642	2692
677	5650	2683
678	5658	2675
679	5666	2666
680	5674	2658
681	5683	2649
682	5690	2641
683	5699	2633
684	5706	2624
685	5715	2616
686	5723	2607
687	5732	2599
688	5739	2590
689	5751	2584
690	5765	2578
691	5779	2572
692	5789	2564
693	5798	2556
694	5807	2548
695	5815	2540
696	5824	2531
697	5833	2524
698	5841	2515
699	5850	2507
700	5859	2499
701	5867	2490
702	5875	2482
703	5882	2473
704	5890	2464
705	5897	2455
706	5905	2447
707	5913	2438
708	5921	2430
709	5928	2421
710	5936	2413
711	5944	2404
712	5952	2396
713	5960	2387
714	5969	2379
715	5978	2371
716	5986	2362
717	5995	2354
718	6003	2346
719	6011	2337
720	6019	2329
721	6027	2320
722	6035	2312
723	6044	2304
724	6051	2295
725	6059	2287
726	6067	2278
727	6075	2270
728	6083	2261
729	6091	2253
730	6099	2244
731	6107	2236
732	6115	2227
733	6123	2218
734	6130	2210
735	6138	2201
736	6146	2193
737	6154	2185
738	6162	2176
739	6170	2168
740	6178	2159
741	6185	2150
742	6193	2142
743	6202	2134
744	6209	2125
745	6217	2116
746	6224	2108
747	6233	2100
748	6241	2091
749	6248	2082
750	6256	2074
751	6264	2065
752	6272	2057
753	6280	2049
754	6288	2040
755	6296	2032
756	6304	2023
757	6312	2015
758	6320	2006
759	6327	1998
760	6335	1989
761	6342	1980
762	6350	1972
763	6358	1964
764	6366	1955
765	6373	1947
766	6381	1938
767	6389	1930
768	6397	1921
769	6405	1913
770	6413	1905
771	6421	1896
772	6429	1888
773	6437	1879
774	6444	1871
775	6453	1862
776	6461	1854
777	6469	1845
778	6476	1837
779	6484	1828
780	6492	1820
781	6500	1812
782	6507	1803
783	6515	1795
784	6523	1786
785	6531	1778
786	6539	1769
787	6546	1761
788	6554	1752
789	6562	1744
790	6570	1735
791	6577	1727
792	6585	1719
793	6593	1710
794	6601	1702
795	6610	1694
796	6618	1685
797	6626	1677
798	6635	1669
799	6642	1660
800	6651	1652
801	6660	1644
802	6668	1636
803	6676	1627
804	6684	1619
805	6691	1610
806	6699	1602
807	6707	1593
808	6715	1585
809	6723	1577
810	6731	1568
811	6738	1560
812	6746	1551
813	6753	1543
814	6761	1534
815	6769	1526
816	6777	1518
817	6786	1509
818	6794	1501
819	6802	1493
820	6810	1484
821	6817	1476
822	6825	1467
823	6832	1459
824	6840	1451
825	6848	1442
826	6856	1434
827	6864	1425
828	6872	1417
829	6880	1409
830	6887	1400
831	6896	1392
832	6903	1384
833	6911	1375
834	6919	1367
835	6927	1358
836	6934	1350
837	6942	1342
838	6949	1333
839	6957	1325
840	6965	1316
841	6972	1308
842	6980	1300
843	6987	1291
844	6995	1283
845	7003	1274
846	7011	1266
847	7018	1258
848	7027	1249
849	7034	1241
850	7042	1233
851	7050	1224
852	7060	1216
853	7068	1208
854	7076	1200
855	7083	1191
856	7092	1183
857	7099	1175
858	7107	1166
859	7115	1158
860	7123	1150
861	7131	1141
862	7138	1133
863	7146	1124
864	7154	1116
865	7161	1108
866	7170	1099
867	7178	1091
868	7185	1083
869	7194	1074
870	7201	1066
871	7209	1058
872	7217	1049
873	7225	1041
874	7233	1033
875	7241	1025
876	7249	1016
877	7257	1008
878	7265	1000
879	7273	991
880	7281	983
881	7289	975
882	7296	966
883	7304	958
884	7312	950
885	7320	941
886	7328	933
887	7336	925
888	7344	917
889	7354	908
890	7363	900
891	7372	892
892	7380	884
893	7389	876
894	7397	867
895	7406	859
896	7414	851
897	7423	843
898	7433	835
899	7442	826
900	7451	818
901	7459	810
902	7467	802
903	7475	793
904	7483	785
905	7491	777
906	7499	768
907	7507	760
908	7514	752
909	7522	743
910	7530	735
911	7538	727
912	7545	719
913	7553	710
914	7560	702
915	7569	694
916	7576	685
917	7585	677
918	7594	669
919	7602	661
920	7611	652
921	7620	644
922	7629	636
923	7637	628
924	7646	619
925	7654	611
926	7663	603
927	7671	595
928	7680	586
929	7688	578
930	7696	570
931	7704	562
932	7712	553
933	7720	545
934	7728	537
935	7736	528
936	7744	520
937	7751	512
938	7759	504
939	7768	495
940	7775	487
941	7784	479
942	7792	471
943	7800	462
944	7808	454
945	7817	446
946	7825	437
947	7833	429
948	7841	421
949	7849	413
950	7857	404
951	7865	396
952	7873	388
953	7881	380
954	7888	371
955	7897	363
956	7904	355
957	7912	346
958	7920	338
959	7927	330
960	7935	322
961	7943	313
962	7951	305
963	7959	297
964	7968	289
965	7977	280
966	7986	272
967	7996	264
968	8004	256
969	8012	247
970	8020	239
971	8028	231
972	8036	223
973	8044	214
974	8053	206
975	8062	198
976	8071	190
977	8080	181
978	8088	173
979	8097	165
980	8106	157
981	8114	148
982	8123	140
983	8131	132
984	8141	123
985	8149	115
986	8157	107
987	8165	99
988	8173	90
989	8180	82
990	8188	74
991	8195	66
992	8202	57
993	8210	49
994	8217	41
995	8224	33
996	8232	24
997	8239	16
998	8247	8
999	8255	0
